timestep,agent_name,actor_type,actor_id,consumer_id,event_type,event_detail,funnel_stage_before,funnel_stage_after,selected_bank,selected_bank_name,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
4,customer_agent,consumer,C001,C001,stage_change,,lead,prospect,,,private,,1,1,C001-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C002,C002,stage_change,,lead,prospect,,,private,,2,2,C002-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C003,C003,stage_change,,lead,prospect,,,private,,3,3,C003-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C004,C004,stage_change,,lead,prospect,,,private,,4,4,C004-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C005,C005,stage_change,,lead,prospect,,,private,,5,5,C005-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C006,C006,stage_change,,lead,prospect,,,private,,6,6,C006-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C007,C007,stage_change,,lead,prospect,,,private,,7,7,C007-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C008,C008,stage_change,,lead,prospect,,,private,,8,8,C008-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C009,C009,stage_change,,lead,prospect,,,private,,9,9,C009-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C010,C010,stage_change,,lead,prospect,,,private,,10,10,C010-1-funnel-event,,3,4,,,,
4,customer_agent,consumer,C011,C011,funnel_transition,,lead,selected,,,private,,11,11,C011-funnel-event-1,,3,4,,,,
4,customer_agent,consumer,C012,C012,funnel_transition,,lead,selected,,,private,,12,12,C012-funnel-event-1,,3,4,,,,
4,customer_agent,consumer,C013,C013,funnel_transition,,lead,selected,,,private,,13,13,C013-funnel-event-1,,3,4,,,,
4,customer_agent,consumer,C014,C014,funnel_transition,,lead,selected,,,private,,14,14,C014-funnel-event-1,,3,4,,,,
4,customer_agent,consumer,C015,C015,funnel_transition,,lead,selected,,,private,,15,15,C015-funnel-event-1,,3,4,,,,
4,customer_agent,consumer,C016,C016,funnel_transition,,lead,selected,,,private,,16,16,C016-funnel-event-1,,3,4,,,,
5,customer_agent,consumer,C017,C017,funnel_transition,,lead,selected,,,private,,1,1,funnel_events-5-C017-69596,,4,5,,,,
6,customer_agent,consumer,C018,C018,funnel_transition,,lead,consideration,,,private,,1,1,funnel_events-6-C018-30850,,5,6,,,,
6,customer_agent,consumer,C001,C001,funnel_transition,,prospect,information_gathering,,,private,,2,2,C001-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C002,C002,funnel_transition,,prospect,information_gathering,,,private,,3,3,C002-funnel-update-1,,5,6,,,,
