timestep,source_table,agent_name,actor_type,actor_id,error_type,error_message,raw_row_json,created_at
2,marketplace_rankings,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-ranking-personal-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_ranking"": {""category"": ""Personal Loan"", ""ranked_offers"": [{""bank_id"": ""B004"", ""effective_interest_rate_apr"": 0.0355, ""offer_id"": ""O001"", ""product_name"": ""DKB Personal Loan"", ""rank"": 1}, {""bank_id"": ""B003"", ""effective_interest_rate_apr"": 0.038, ""offer_id"": ""B003_offer_1"", ""product_name"": ""ING Personal Loan"", ""rank"": 2}, {""bank_id"": ""B006"", ""effective_interest_rate_apr"": 0.047, ""offer_id"": ""B006-L-2"", ""product_name"": ""Standard Loan"", ""rank"": 3}, {""bank_id"": ""B008"", ""effective_interest_rate_apr"": 0.052, ""offer_id"": ""offer_B008_1"", ""product_name"": ""Santander Personal Loan"", ""rank"": 4}, {""bank_id"": ""B001"", ""effective_interest_rate_apr"": 0.057, ""offer_id"": ""B001-loan-premium-1"", ""product_name"": ""Deutsche Bank Premium Personal Loan"", ""rank"": 5}, {""bank_id"": ""B007"", ""effective_interest_rate_apr"": 0.0599, ""offer_id"": ""B007-O-1"", ""product_name"": ""Targobank Personal Loan"", ""rank"": 6}, {""bank_id"": ""B005"", ""effective_interest_rate_apr"": 0.061, ""offer_id"": ""B005-O-1"", ""product_name"": ""Sparkasse Personal Loan"", ""rank"": 7}], ""segment"": ""Loan Amount: 15,000 EUR, Term: 48 months""}, ""rank"": 1, ""raw_row_json"": ""{\""action_id\"": \""marketplace-ranking-personal-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_ranking\"": {\""category\"": \""Personal Loan\"", \""ranked_offers\"": [{\""bank_id\"": \""B004\"", \""effective_interest_rate_apr\"": 0.0355, \""offer_id\"": \""O001\"", \""product_name\"": \""DKB Personal Loan\"", \""rank\"": 1}, {\""bank_id\"": \""B003\"", \""effective_interest_rate_apr\"": 0.038, \""offer_id\"": \""B003_offer_1\"", \""product_name\"": \""ING Personal Loan\"", \""rank\"": 2}, {\""bank_id\"": \""B006\"", \""effective_interest_rate_apr\"": 0.047, \""offer_id\"": \""B006-L-2\"", \""product_name\"": \""Standard Loan\"", \""rank\"": 3}, {\""bank_id\"": \""B008\"", \""effective_interest_rate_apr\"": 0.052, \""offer_id\"": \""offer_B008_1\"", \""product_name\"": \""Santander Personal Loan\"", \""rank\"": 4}, {\""bank_id\"": \""B001\"", \""effective_interest_rate_apr\"": 0.057, \""offer_id\"": \""B001-loan-premium-1\"", \""product_name\"": \""Deutsche Bank Premium Personal Loan\"", \""rank\"": 5}, {\""bank_id\"": \""B007\"", \""effective_interest_rate_apr\"": 0.0599, \""offer_id\"": \""B007-O-1\"", \""product_name\"": \""Targobank Personal Loan\"", \""rank\"": 6}, {\""bank_id\"": \""B005\"", \""effective_interest_rate_apr\"": 0.061, \""offer_id\"": \""B005-O-1\"", \""product_name\"": \""Sparkasse Personal Loan\"", \""rank\"": 7}], \""segment\"": \""Loan Amount: 15,000 EUR, Term: 48 months\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""repair_notes"": ""rank defaulted"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.211391+00:00
2,marketplace_rankings,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-ranking-car-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_ranking"": {""category"": ""Car Loan"", ""ranked_offers"": [{""bank_id"": ""B004"", ""effective_interest_rate_apr"": 0.0295, ""offer_id"": ""O002"", ""product_name"": ""DKB Car Loan"", ""rank"": 1}, {""bank_id"": ""B003"", ""effective_interest_rate_apr"": 0.032, ""offer_id"": ""B003_offer_2"", ""product_name"": ""ING Car Loan"", ""rank"": 2}], ""segment"": ""Loan Amount: 20,000 EUR, Term: 60 months""}, ""rank"": 1, ""raw_row_json"": ""{\""action_id\"": \""marketplace-ranking-car-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_ranking\"": {\""category\"": \""Car Loan\"", \""ranked_offers\"": [{\""bank_id\"": \""B004\"", \""effective_interest_rate_apr\"": 0.0295, \""offer_id\"": \""O002\"", \""product_name\"": \""DKB Car Loan\"", \""rank\"": 1}, {\""bank_id\"": \""B003\"", \""effective_interest_rate_apr\"": 0.032, \""offer_id\"": \""B003_offer_2\"", \""product_name\"": \""ING Car Loan\"", \""rank\"": 2}], \""segment\"": \""Loan Amount: 20,000 EUR, Term: 60 months\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""repair_notes"": ""rank defaulted"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.211727+00:00
2,marketplace_rankings,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-ranking-large-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_ranking"": {""category"": ""Large Personal Loan"", ""ranked_offers"": [{""bank_id"": ""B008"", ""effective_interest_rate_apr"": 0.042, ""offer_id"": ""offer_B008_3"", ""product_name"": ""Santander Large Purchase Loan"", ""rank"": 1}, {""bank_id"": ""B006"", ""effective_interest_rate_apr"": 0.042, ""offer_id"": ""B006-L-3"", ""product_name"": ""Standard Loan"", ""rank"": 1}, {""bank_id"": ""B001"", ""effective_interest_rate_apr"": 0.057, ""offer_id"": ""B001-loan-premium-1"", ""product_name"": ""Deutsche Bank Premium Personal Loan"", ""rank"": 2}, {""bank_id"": ""B005"", ""effective_interest_rate_apr"": 0.061, ""offer_id"": ""B005-O-1"", ""product_name"": ""Sparkasse Personal Loan"", ""rank"": 3}], ""segment"": ""Loan Amount: 60,000 EUR, Term: 84 months""}, ""rank"": 1, ""raw_row_json"": ""{\""action_id\"": \""marketplace-ranking-large-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_ranking\"": {\""category\"": \""Large Personal Loan\"", \""ranked_offers\"": [{\""bank_id\"": \""B008\"", \""effective_interest_rate_apr\"": 0.042, \""offer_id\"": \""offer_B008_3\"", \""product_name\"": \""Santander Large Purchase Loan\"", \""rank\"": 1}, {\""bank_id\"": \""B006\"", \""effective_interest_rate_apr\"": 0.042, \""offer_id\"": \""B006-L-3\"", \""product_name\"": \""Standard Loan\"", \""rank\"": 1}, {\""bank_id\"": \""B001\"", \""effective_interest_rate_apr\"": 0.057, \""offer_id\"": \""B001-loan-premium-1\"", \""product_name\"": \""Deutsche Bank Premium Personal Loan\"", \""rank\"": 2}, {\""bank_id\"": \""B005\"", \""effective_interest_rate_apr\"": 0.061, \""offer_id\"": \""B005-O-1\"", \""product_name\"": \""Sparkasse Personal Loan\"", \""rank\"": 3}], \""segment\"": \""Loan Amount: 60,000 EUR, Term: 84 months\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""repair_notes"": ""rank defaulted"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.211932+00:00
2,marketplace_rankings,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-ranking-mortgage-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_ranking"": {""category"": ""Mortgage"", ""ranked_offers"": [{""bank_id"": ""B005"", ""effective_interest_rate_apr"": 0.04, ""offer_id"": ""B005-O-2"", ""product_name"": ""Sparkasse Mortgage"", ""rank"": 1}], ""segment"": ""Loan Amount: 250,000 EUR, Term: 240 months""}, ""rank"": 1, ""raw_row_json"": ""{\""action_id\"": \""marketplace-ranking-mortgage-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_ranking\"": {\""category\"": \""Mortgage\"", \""ranked_offers\"": [{\""bank_id\"": \""B005\"", \""effective_interest_rate_apr\"": 0.04, \""offer_id\"": \""B005-O-2\"", \""product_name\"": \""Sparkasse Mortgage\"", \""rank\"": 1}], \""segment\"": \""Loan Amount: 250,000 EUR, Term: 240 months\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""repair_notes"": ""rank defaulted"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.212046+00:00
2,marketplace_recommendations,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-recommendation-personal-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_recommendation"": {""category"": ""Personal Loan"", ""recommendation_text"": ""For personal loans around 15,000 EUR, the DKB Personal Loan is the top choice with an effective APR of 3.55%.""}, ""raw_row_json"": ""{\""action_id\"": \""marketplace-recommendation-personal-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_recommendation\"": {\""category\"": \""Personal Loan\"", \""recommendation_text\"": \""For personal loans around 15,000 EUR, the DKB Personal Loan is the top choice with an effective APR of 3.55%.\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""recommendation_reason"": ""Marketplace recommendation recorded."", ""repair_notes"": ""recommendation_reason generated"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.212207+00:00
2,marketplace_recommendations,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-recommendation-car-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_recommendation"": {""category"": ""Car Loan"", ""recommendation_text"": ""The DKB Car Loan is the best offer for car financing with an effective APR of 2.95%.""}, ""raw_row_json"": ""{\""action_id\"": \""marketplace-recommendation-car-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_recommendation\"": {\""category\"": \""Car Loan\"", \""recommendation_text\"": \""The DKB Car Loan is the best offer for car financing with an effective APR of 2.95%.\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""recommendation_reason"": ""Marketplace recommendation recorded."", ""repair_notes"": ""recommendation_reason generated"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.212296+00:00
2,marketplace_recommendations,,marketplace,loan_marketplace,ValueError,"missing required fields: offer_id, bank_id, product_id","{""action_id"": ""marketplace-recommendation-large-loan-1"", ""action_sequence"": 1, ""actor_id"": ""loan_marketplace"", ""actor_type"": ""marketplace"", ""marketplace_recommendation"": {""category"": ""Large Personal Loan"", ""recommendation_text"": ""For large loans, Santander and Bank B006 offer the most competitive rate at 4.2% APR.""}, ""raw_row_json"": ""{\""action_id\"": \""marketplace-recommendation-large-loan-1\"", \""action_sequence\"": 1, \""actor_id\"": \""loan_marketplace\"", \""actor_type\"": \""marketplace\"", \""marketplace_recommendation\"": {\""category\"": \""Large Personal Loan\"", \""recommendation_text\"": \""For large loans, Santander and Bank B006 offer the most competitive rate at 4.2% APR.\""}, \""timestep\"": 2, \""visibility\"": \""public\""}"", ""recommendation_reason"": ""Marketplace recommendation recorded."", ""repair_notes"": ""recommendation_reason generated"", ""timestep"": 2, ""validation_errors"": ""missing required field after repair: offer_id; missing required field after repair: bank_id; missing required field after repair: product_id"", ""validation_status"": ""unrepaired"", ""visibility"": ""public""}",2026-07-24T05:14:31.212379+00:00
4,customer_feedback,,consumer,C011,ValueError,missing required fields: feedback_type,"{""action_id"": ""C011-feedback-1"", ""action_type"": ""select"", ""actor_id"": ""C011"", ""actor_type"": ""consumer"", ""consumer_id"": ""C011"", ""experience_type"": ""experience"", ""message"": ""Customer experience feedback recorded."", ""offer"": {""bank_id"": ""B003"", ""effective_interest_rate_apr"": 0.031, ""max_loan_amount_eur"": 80000, ""max_term_months"": 120, ""min_loan_amount_eur"": 5000, ""min_term_months"": 24, ""offer_id"": ""B003_offer_4"", ""product_id"": ""green_energy_loan""}, ""raw_row_json"": ""{\""action_id\"": \""C011-feedback-1\"", \""action_type\"": \""select\"", \""actor_id\"": \""C011\"", \""actor_type\"": \""consumer\"", \""consumer_id\"": \""C011\"", \""offer\"": {\""bank_id\"": \""B003\"", \""effective_interest_rate_apr\"": 0.031, \""max_loan_amount_eur\"": 80000, \""max_term_months\"": 120, \""min_loan_amount_eur\"": 5000, \""min_term_months\"": 24, \""offer_id\"": \""B003_offer_4\"", \""product_id\"": \""green_energy_loan\""}, \""timestep\"": 4}"", ""repair_notes"": ""experience_type defaulted; message defaulted"", ""timestep"": 4, ""validation_errors"": """", ""validation_status"": ""repaired""}",2026-07-24T05:18:07.792133+00:00
4,customer_feedback,,consumer,C012,ValueError,missing required fields: feedback_type,"{""action_id"": ""C012-feedback-1"", ""action_type"": ""select"", ""actor_id"": ""C012"", ""actor_type"": ""consumer"", ""consumer_id"": ""C012"", ""experience_type"": ""experience"", ""message"": ""Customer experience feedback recorded."", ""offer"": {""bank_id"": ""B003"", ""effective_interest_rate_apr"": 0.031, ""max_loan_amount_eur"": 80000, ""max_term_months"": 120, ""min_loan_amount_eur"": 5000, ""min_term_months"": 24, ""offer_id"": ""B003_offer_4"", ""product_id"": ""green_energy_loan""}, ""raw_row_json"": ""{\""action_id\"": \""C012-feedback-1\"", \""action_type\"": \""select\"", \""actor_id\"": \""C012\"", \""actor_type\"": \""consumer\"", \""consumer_id\"": \""C012\"", \""offer\"": {\""bank_id\"": \""B003\"", \""effective_interest_rate_apr\"": 0.031, \""max_loan_amount_eur\"": 80000, \""max_term_months\"": 120, \""min_loan_amount_eur\"": 5000, \""min_term_months\"": 24, \""offer_id\"": \""B003_offer_4\"", \""product_id\"": \""green_energy_loan\""}, \""timestep\"": 4}"", ""repair_notes"": ""experience_type defaulted; message defaulted"", ""timestep"": 4, ""validation_errors"": """", ""validation_status"": ""repaired""}",2026-07-24T05:18:07.792288+00:00
4,customer_feedback,,consumer,C013,ValueError,missing required fields: feedback_type,"{""action_id"": ""C013-feedback-1"", ""action_type"": ""select"", ""actor_id"": ""C013"", ""actor_type"": ""consumer"", ""consumer_id"": ""C013"", ""experience_type"": ""experience"", ""message"": ""Customer experience feedback recorded."", ""offer"": {""bank_id"": ""B003"", ""effective_interest_rate_apr"": 0.037, ""max_loan_amount_eur"": 50000, ""max_term_months"": 84, ""min_loan_amount_eur"": 1000, ""min_term_months"": 12, ""offer_id"": ""B003_offer_3"", ""product_id"": ""personal_loan""}, ""raw_row_json"": ""{\""action_id\"": \""C013-feedback-1\"", \""action_type\"": \""select\"", \""actor_id\"": \""C013\"", \""actor_type\"": \""consumer\"", \""consumer_id\"": \""C013\"", \""offer\"": {\""bank_id\"": \""B003\"", \""effective_interest_rate_apr\"": 0.037, \""max_loan_amount_eur\"": 50000, \""max_term_months\"": 84, \""min_loan_amount_eur\"": 1000, \""min_term_months\"": 12, \""offer_id\"": \""B003_offer_3\"", \""product_id\"": \""personal_loan\""}, \""timestep\"": 4}"", ""repair_notes"": ""experience_type defaulted; message defaulted"", ""timestep"": 4, ""validation_errors"": """", ""validation_status"": ""repaired""}",2026-07-24T05:18:07.792392+00:00
