timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,campaign_name,campaign_type,campaign_detail,target_segment,marketing_channel,marketing_spend_eur,product_id,product_name,source_function,start_timestep,end_timestep,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
1,bank_agent,bank,B001,B001,,,,,,New Loan Offers from Deutsche Bank!,,,general_public,online_banner,,,,bank_owned_marketing,,,public,,1,1,B001-mkt-1,,0,1,,,,
1,bank_agent,bank,B007,B007,,,,,,Targobank is here!,,Targobank is now offering competitive loans in the marketplace. Check out our new Personal Loan and Small Credit Line products.,,,,,,bank_owned_marketing,,,public,,1,1,B007-A-1,,0,1,,,,
1,bank_agent,bank,B004,B004,,,,,,B004_campaign_1_1,,,,,,,,bank_owned_marketing,,,public,,1,1,A004,,0,1,,,,
1,bank_agent,bank,B002,B002,,,,,,B002_General public in Germany seeking personal financing._1_1,,,General public in Germany seeking personal financing.,"online,social_media",20000.0,,,bank_owned_marketing,,,private,,1,1,A001,,0,1,,,,
1,bank_agent,bank,B002,B002,,,,,,B002_Individuals in Germany looking to finance a new or used car._1_1,,,Individuals in Germany looking to finance a new or used car.,"car_dealerships,online_car_portals",25000.0,,,bank_owned_marketing,,,private,,1,1,A001_5,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,Flexible Personal Loans from Santander,,,,,5000.0,,,bank_owned_marketing,,,private,,1,1,mkt_B008_1,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,Need Cash Fast? Get a Santander Express Loan!,,,,,3000.0,,,bank_owned_marketing,,,private,,1,1,mkt_B008_2,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,Finance Your Big Dreams with Santander,,,,,7000.0,,,bank_owned_marketing,,,private,,1,1,mkt_B008_3,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,B005_campaign_1_1,,,,,,,,bank_owned_marketing,,,private,,1,1,B005-M-1,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006_campaign_1_1,,,,,,,,bank_owned_marketing,,,public,,1,1,B006-M-1,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006_campaign_1_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B006-M-2,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006_campaign_1_3,,,,,,,,bank_owned_marketing,,,public,,3,3,B006-M-3,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_campaign_1_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B003_marketing_campaign_1,,0,1,,,,
2,bank_agent,bank,B004,B004,,,,,,DKB Green Energy Initiative,Promote the new DKB Green Energy Loan and attract environmentally conscious customers.,,,"Online, Social Media, Print",75000.0,P003,,bank_owned_marketing,,,public,,1,1,A006,,1,2,,,,
2,bank_agent,bank,B002,B002,,,,,,B002_campaign_2_3,,,,,,,,bank_owned_marketing,,,private,,3,3,A004,,1,2,,,,
2,bank_agent,bank,B008,B008,,,,,,Santander Q2 Loan Promotion,,,,"['online_ads', 'social_media', 'email_marketing']",1000000.0,,,bank_owned_marketing,2,3,public,,2,2,action_B008_2,,1,2,,,,
2,bank_agent,bank,B007,B007,,,,,,B007_campaign_2_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B007-A-4,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,Volksbanken New Low Rates,Increase loan applications by promoting new lower interest rates.,,General public,"Online advertising, Social media",,,,bank_owned_marketing,,,public,,1,1,B006-marketing-2-1,,1,2,,,,
2,bank_agent,bank,B001,B001,,,,,,B001_green_energy_loan_2_1,,,,,150000.0,green_energy_loan,,bank_owned_marketing,,,public,,1,1,B001-marketing-1,,1,2,,,,
2,bank_agent,bank,B003,B003,,,,,,B003_campaign_2_2,,,,online_ads,250000.0,,,bank_owned_marketing,,,private,,2,2,B003_action_2,,1,2,,,,
3,bank_agent,bank,B002,B002,,,,,,Go Green with Commerzbank,Promote the new Green Energy Loan and increase market share in the sustainable finance sector.,,"Environmentally conscious consumers, homeowners looking to invest in green energy projects.","Online, Social Media, Print",500000.0,,,bank_owned_marketing,3,4,public,,3,3,A007,,2,3,,,,
3,bank_agent,bank,B001,B001,,,,,,Competitive Rates Campaign,,Promotion highlighting newly reduced interest rates on personal loans to attract new customers and compete with market offers.,,,750000.0,,,bank_owned_marketing,3,4,public,,1,1,B001-marketing-3,,2,3,,,,
3,bank_agent,bank,B004,B004,,,,,,"Go Green, Save Green! DKB's Low-Rate Green Energy Loan.",,,,"[""online_ads"", ""social_media"", ""partnerships_with_installers""]",250000.0,,,bank_owned_marketing,,,public,,1,1,A007_3,,2,3,,,,
3,bank_agent,bank,B004,B004,,,,,,"Your Plans, Your Loan: DKB Personal Loan Now with a Lower Rate!",,,,"[""comparison_portals"", ""online_ads""]",100000.0,,,bank_owned_marketing,,,public,,1,1,A008,,2,3,,,,
3,bank_agent,bank,B003,B003,,,,,,B003_campaign_3_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B003_action_2_market,,2,3,,,,
3,bank_agent,bank,B006,B006,,,,,,Volksbanken Green Energy Loan Launch,,,,,750000.0,,,bank_owned_marketing,,,public,,7,7,B006-mkt-3-1,,2,3,,,,
3,bank_agent,bank,B005,B005,,,,,,Go Green & Save More with Sparkasse!,,"Introducing our new Green Energy Loan to support your sustainable projects. Plus, enjoy our new lower rates on Personal Loans.",,,500000.0,,,bank_owned_marketing,,,public,,2,2,B005-M-1,,2,3,,,,
3,bank_agent,bank,B008,B008,,,,,,Santander Loan Promotion,"Continue large-scale promotion to increase market share for all loan products, with a special focus on the Green Energy Loan to capitalize on government stimulus and market trends.",,,,750000.0,,,bank_owned_marketing,,,public,,3,3,action_B008_5,,2,3,,,,
3,bank_agent,bank,B007,B007,,,,,,"Go Green, Save Green",Promote new Green Energy Loan and reduced rates on other loans.,,,,500000.0,,,bank_owned_marketing,,,public,,3,3,B007-A-7,,2,3,,,,
4,bank_agent,bank,B002,B002,,,,,,Competitive Loans Campaign,,,,,,"P-B002-PL-PLUS,P-B002-GL",,bank_owned_marketing,,,public,,3,3,A009,,3,4,,,,
4,bank_agent,bank,B003,B003,,,,,,B003_campaign_4_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B003_action_2_market_green,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006_B006-GL_4_1,,,,,,B006-GL,,bank_owned_marketing,,,public,,1,1,B006-marketing-4-1,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006_B006-L_4_2,,,,,,B006-L,,bank_owned_marketing,,,public,,2,2,B006-marketing-4-2,,3,4,,,,
4,bank_agent,bank,B007,B007,,,,,,Go Green with Targobank! Competitive Rates on Green Energy Loans.,,Finance your sustainable future with Targobank's Green Energy Loan. Take advantage of our special low-interest rates and contribute to a greener planet.,,,,GEL-001,,bank_owned_marketing,,,public,,4,4,B007-A-9,,3,4,,,,
4,bank_agent,bank,B007,B007,,,,,,"Your Plans, Your Loan: Targobank Personal Loans Now at a Lower Rate!",,"To help you achieve your goals, we've lowered the interest rate on our popular Personal Loan. Check out our new competitive rates today!",,,,PL-001,,bank_owned_marketing,,,public,,4,4,B007-A-10,,3,4,,,,
4,bank_agent,bank,B005,B005,,,,,,Sparkasse Green Future,ProductPromotion,,All customers,,75000.0,B005-P-GREEN,,bank_owned_marketing,4,5,public,,1,1,B005-M-1,,3,4,,,,
4,bank_agent,bank,B005,B005,,,,,,Sparkasse Personal Loan - Lower Rate,RateReduction,,All customers,,50000.0,B005-P-PL,,bank_owned_marketing,4,4,public,,2,2,B005-M-2,,3,4,,,,
4,bank_agent,bank,B004,B004,,,,,,DKB Green Energy Spring Promotion,Increase awareness and applications for the DKB Green Energy Loan.,,,,50000.0,P003,,bank_owned_marketing,4,5,public,,1,1,A008,,3,4,,,,
4,bank_agent,bank,B001,B001,,,,,,Go Green with Deutsche Bank's new lower-rate Green Energy Loan!,,"Finance your sustainable projects with our updated Green Energy Loan, now with an even more attractive interest rate. Starting at 5.8% APR.",,,,green_energy_loan,,bank_owned_marketing,,,public,,5,5,B001-mktg-3,,3,4,,,,
4,bank_agent,bank,B001,B001,,,,,,Lower Interest Rates on all Deutsche Bank Personal Loans!,,"In response to market conditions, we've lowered the rates on our Personal and Premium Personal Loans. Get the financing you need at a more competitive price.",,,,personal_loan,,bank_owned_marketing,,,public,,6,6,B001-mktg-4,,3,4,,,,
5,bank_agent,bank,B003,B003,,,,,,"Go Green, Go Further, For Less! ING's New Loan Rates.",,,,,200000.0,,,bank_owned_marketing,,,public,,1,1,B003_action_market_5,,4,5,,,,
5,bank_agent,bank,B004,B004,,,,,,DKB: Still the Leader in Personal and Car Loans!,,"DKB continues to offer market-leading rates for personal and car loans. Check out our new, even lower interest rates and see why we are the top choice for your financing needs.",,,,"P001,P002",,bank_owned_marketing,,,public,,1,1,A010,,4,5,,,,
5,bank_agent,bank,B006,B006,,,,,,"Go Green, Save Green! Volksbanken's Lowest Ever Green Loan Rates!",,,,"Online Ads,Social Media,Branch Promotion",,B006-GL,,bank_owned_marketing,,,public,,1,1,B006-marketing-5-1,,4,5,,,,
