timestep,agent_name,actor_type,actor_id,ranking_id,offer_id,bank_id,product_id,rank,ranking_score,ranking_reason,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,O003,B004,O003,1,,,public,,1,1,marketplace-ranking-4,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,B003_offer_4,B003,B003_offer_4,2,,,public,,1,1,marketplace-ranking-4_2,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,B006-GL-T3,B006,B006-GL-T3,3,,,public,,1,1,marketplace-ranking-4_3,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,O004,B004,O004,1,,,public,,1,1,marketplace-ranking-4_4,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,B003_offer_3,B003,B003_offer_3,2,,,public,,1,1,marketplace-ranking-4_5,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,B006-L-3-T3,B006,B006-L-3-T3,3,,,public,,1,1,marketplace-ranking-4_6,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,O005,B004,O005,1,,,public,,1,1,marketplace-ranking-4_7,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,B003_offer_5,B003,B003_offer_5,2,,,public,,1,1,marketplace-ranking-4_8,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,O-B002-005,B002,O-B002-005,3,,,public,,1,1,marketplace-ranking-4_9,,3,4,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,O006,B004,P003,1,,,public,,1,1,MKT-RANK-5-1,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,B003_offer_4,B003,green_energy_loan,2,,,public,,1,1,MKT-RANK-5-2,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,B006-GL-T4,B006,B006-GL,3,,,public,,1,1,MKT-RANK-5-3,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,O004,B004,P001,1,,,public,,1,1,MKT-RANK-5-4,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,B003_offer_6,B003,personal_loan,2,,,public,,1,1,MKT-RANK-5-5,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,B006-L-3-T4,B006,B006-L,3,,,public,,1,1,MKT-RANK-5-6,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,O005,B004,P002,1,,,public,,1,1,MKT-RANK-5-7,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,B003_offer_5,B003,car_loan,2,,,public,,1,1,MKT-RANK-5-8,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,5_marketplace_agent_loan_marketplace_1,O-B002-005,B002,P-B002-CL,3,,,public,,1,1,MKT-RANK-5-9,,4,5,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,O006,B004,P003,1,,Lowest interest rate in the Green Energy Loan category.,public,,1,1,marketplace-rankings-6-1,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,B003_offer_7,B003,green_energy_loan,1,,Second lowest interest rate in the Green Energy Loan category.,public,,1,1,marketplace-rankings-6-2,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,B006-GL-T5,B006,B006-GL,1,,Third lowest interest rate in the Green Energy Loan category.,public,,1,1,marketplace-rankings-6-3,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,O008,B004,P002,1,,Lowest interest rate in the Car Loan category.,public,,1,1,marketplace-rankings-6-4,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,B003_offer_8,B003,car_loan,1,,Second lowest interest rate in the Car Loan category.,public,,1,1,marketplace-rankings-6-5,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,O-B002-008,B002,P-B002-CL,1,,Third lowest interest rate in the Car Loan category.,public,,1,1,marketplace-rankings-6-6,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,O007,B004,P001,1,,Lowest interest rate in the Personal Loan category.,public,,1,1,marketplace-rankings-6-7,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,B003_offer_6,B003,personal_loan,1,,Second lowest interest rate in the Personal Loan category.,public,,1,1,marketplace-rankings-6-8,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,B006-L-3-T5,B006,B006-L,1,,Third lowest interest rate in the Personal Loan category (for amounts >50000 EUR).,public,,1,1,marketplace-rankings-6-9,,5,6,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,O009,B004,P003,1,,Lowest effective APR,public,,1,1,marketplace_ranking_7_1,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,B003_offer_10,B003,green_energy_loan,2,,Second lowest effective APR,public,,1,1,marketplace_ranking_7_2,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,B003_offer_11,B003,car_loan,1,,Tied for lowest effective APR,public,,1,1,marketplace_ranking_7_3,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,O008,B004,P002,1,,Tied for lowest effective APR,public,,1,1,marketplace_ranking_7_4,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,O007,B004,P001,1,,Lowest effective APR,public,,1,1,marketplace_ranking_7_5,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,B003_offer_9,B003,personal_loan,2,,Second lowest effective APR,public,,1,1,marketplace_ranking_7_6,,6,7,,,,
