timestep,agent_name,actor_type,actor_id,event_type,event_detail,offer_id,bank_id,product_id,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
2,marketplace_agent,marketplace,loan_marketplace,marketplace_event,marketplace_event,,,,public,,1,1,marketplace-visibility-event-1,,1,2,,,,
2,marketplace_agent,marketplace,loan_marketplace,marketplace_event,marketplace_event,,,,public,,1,1,marketplace-visibility-event-2,,1,2,,,,
2,marketplace_agent,marketplace,loan_marketplace,marketplace_event,marketplace_event,,,,public,,1,1,marketplace-visibility-event-3,,1,2,,,,
4,marketplace_agent,marketplace,loan_marketplace,major_campaign_launch,major_campaign_launch,,B002,,public,,1,1,marketplace-ranking-4,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,major_campaign_launch,major_campaign_launch,,B006,,public,,1,1,marketplace-ranking-4_2,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,market_trend,market_trend,,,,public,,1,1,marketplace-ranking-4_3,,3,4,,,,
5,marketplace_agent,marketplace,loan_marketplace,Market Leadership,Market Leadership,,,,public,,3,3,MKT-VIS-5-1,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,Market Trend,Market Trend,,,,public,,3,3,MKT-VIS-5-2,,4,5,,,,
5,marketplace_agent,marketplace,loan_marketplace,Marketing Impact,Marketing Impact,,,,public,,3,3,MKT-VIS-5-3,,4,5,,,,
6,marketplace_agent,marketplace,loan_marketplace,market_leader_highlight,market_leader_highlight,,B004,,public,,1,1,marketplace-visibility-events-6-1,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,strong_competitor,strong_competitor,,B003,,public,,1,1,marketplace-visibility-events-6-2,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,market_trend,market_trend,,,,public,,1,1,marketplace-visibility-events-6-3,,5,6,,,,
7,marketplace_agent,marketplace,loan_marketplace,market_trend,market_trend,,,,public,,1,1,marketplace_visibility_event_7_1,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,leader_spotlight,leader_spotlight,,,,public,,1,1,marketplace_visibility_event_7_2,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,leader_spotlight,leader_spotlight,,,,public,,1,1,marketplace_visibility_event_7_3,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,competitor_highlight,competitor_highlight,,,,public,,1,1,marketplace_visibility_event_7_4,,6,7,,,,
