timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,offer_id,product_id,product_name,offer_type,visibility,suppressed_by_offer_cap,suppression_reason,base_interest_rate_apr,effective_interest_rate_apr,processing_fee_pct,relationship_discount_bps,min_credit_score,min_schufa_score_pct,min_loan_amount_eur,max_loan_amount_eur,min_term_months,max_term_months,target_customer_segment,offer_description,valid_from_timestep,valid_to_timestep,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
1,bank_agent,bank,B001,B001,,,,,,B001-L3,personal-loan-large,Large Personal Loan,standard_offer,public,False,,0.025,0.025,0.005,20.0,,,50001.0,100000.0,36,84,,,1,3,,2,2,B001-A2,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001-L2,personal-loan-medium,Medium Personal Loan,standard_offer,public,False,,0.03,0.03,0.0075,15.0,,,10001.0,50000.0,24,60,,,1,3,,1,1,B001-A1,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001-L1,personal-loan-small,Small Personal Loan,standard_offer,private,True,max_new_public_offers_per_bank_per_timestep_exceeded,0.035,0.035,0.01,10.0,,,1000.0,10000.0,12,36,,,1,3,,1,1,B001-A0,,0,1,,,,
1,bank_agent,bank,B002,B002,,,,,,B002-L001,personal_loan,Commerzbank Personal Loan,standard_offer,public,False,,0.045,0.048,0.01,20.0,,,5000.0,50000.0,12,60,,,1,3,,1,1,bank_offers-1-B002-39471,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_O001,B003_P001,ING Personal Loan,standard_offer,private,,,0.045,0.045,0.01,50.0,,,5000.0,50000.0,12,84,,,1,3,,1,1,B003_A001,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_O002,B003_P002,ING Car Loan,standard_offer,private,,,0.038,0.038,0.01,25.0,,,10000.0,75000.0,24,96,,,1,3,,1,1,B003_A001_3,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_O003,B003_P003,ING Mortgage,standard_offer,private,,,0.025,0.025,0.005,15.0,,,50000.0,500000.0,120,360,,,1,3,,1,1,B003_A001_4,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,B005_O1,personal_loan,Sparkasse Personal Loan,standard_offer,public,False,,0.052,0.052,0.01,15.0,,,1000.0,50000.0,12,60,,,1,3,,1,1,B005_1_2,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,B005_O2,personal_loan_plus,Sparkasse Personal Loan Plus,standard_offer,public,False,,0.06,0.06,0.0075,20.0,,,25000.0,100000.0,24,84,,,1,3,,2,2,B005_1_3,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-O-1,B006-P-1,VR-KleinKredit,standard_offer,public,False,,4.5,4.6,1.0,10.0,,,1000.0,10000.0,12,48,,,1,3,,1,1,B006-A-1,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-O-2,B006-P-2,VR-FlexiKredit,standard_offer,public,False,,3.8,3.9,0.5,15.0,,,10001.0,50000.0,24,84,,,1,3,,1,1,B006-A-1_8,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-O-3,B006-P-3,VR-GrossKredit,standard_offer,private,True,max_new_public_offers_per_bank_per_timestep_exceeded,3.5,3.55,0.25,20.0,,,50001.0,100000.0,48,120,,,1,3,,1,1,B006-A-1_9,,0,1,,,,
1,bank_agent,bank,B007,B007,,,,,,B007-O001,B007-P001,Targobank Personal Loan,standard_offer,public,False,,0.035,0.035,0.01,10.0,,,1000.0,50000.0,12,84,,,1,3,,10,10,bank_offers-1-B007-37473,,0,1,,,,
1,bank_agent,bank,B007,B007,,,,,,B007-O002,B007-P002,Targobank Small Business Loan,standard_offer,public,False,,0.045,0.045,0.015,20.0,,,10000.0,250000.0,24,120,,,1,3,,11,11,bank_offers-1-B007-66569,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,B008-O-1,B008-P-PL-1,Santander Personal Loan,standard_offer,private,,,0.055,0.057,0.01,20.0,,,1000.0,15000.0,12,60,,,1,3,,2,2,B008-1-O-1,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,B008-O-2,B008-P-PL-2,Santander Personal Loan Plus,standard_offer,private,,,0.048,0.05,0.005,25.0,,,15001.0,75000.0,24,84,,,1,3,,3,3,B008-1-O-2,,0,1,,,,
2,bank_agent,bank,B001,B001,,,,,,B001-L1,personal-loan-small,Small Personal Loan,standard_offer,public,False,,0.035,0.035,0.01,10.0,,,1000.0,10000.0,12,36,,,2,4,,1,1,B001-A4,,1,2,,,,
2,bank_agent,bank,B002,B002,,,,,,B002-L002,personal_loan_small,Commerzbank Small Personal Loan,standard_offer,public,False,,0.046,0.049,0.01,20.0,,,1000.0,10000.0,12,48,,,2,4,,1,1,bank_offers-2-B002-1,,1,2,,,,
2,bank_agent,bank,B003,B003,,,,,,B003_O001,B003_P001,ING Personal Loan,standard_offer,private,,,0.041,0.041,0.01,50.0,,,5000.0,50000.0,12,84,,,2,4,,1,1,B003_A002,,1,2,,,,
2,bank_agent,bank,B004,B004,,,,,,B004-2-O1,B004-P-1,DKB-Privatdarlehen,standard_offer,public,False,,4.5,4.5,0.5,50.0,,,5000.0,50000.0,12,84,,,2,4,,1,1,B004-2-O1,,1,2,,,,
2,bank_agent,bank,B004,B004,,,,,,B004-2-O2,B004-P-2,DKB-Kreditrahmen,standard_offer,public,False,,5.0,5.0,0.0,50.0,,,1000.0,25000.0,6,60,,,2,4,,1,1,B004-2-O2,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,B006-O-3,B006-P-3,VR-GrossKredit,standard_offer,public,False,,3.5,3.55,0.25,20.0,,,50001.0,100000.0,48,120,,,2,4,,1,1,B006-A-2-1,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,B006-O-4,B006-P-4,VR-TopZins,standard_offer,public,False,,3.6,3.7,0.5,15.0,,,15000.0,40000.0,24,72,,,2,4,,1,1,B006-A-2-2,,1,2,,,,
2,bank_agent,bank,B007,B007,,,,,,B007-O003,B007-P001,Targobank Personal Loan,standard_offer,public,False,,0.034,0.034,0.01,10.0,,,1000.0,50000.0,12,84,,,2,4,,3,3,bank_offers-2-B007-3,,1,2,,,,
2,bank_agent,bank,B007,B007,,,,,,B007-O001,B007-P001,Targobank Personal Loan,standard_offer,public,False,,0.035,0.035,0.01,10.0,,,1000.0,50000.0,12,84,,,1,2,,2,2,bank_offers-2-B007-2,,1,2,,,,
2,bank_agent,bank,B008,B008,,,,,,B008-O-1,B008-P-PL-1,Santander Personal Loan,standard_offer,public,False,,0.055,0.057,0.01,20.0,,,1000.0,15000.0,12,60,,,2,4,,2,2,B008-2-O-1,,1,2,,,,
2,bank_agent,bank,B008,B008,,,,,,B008-O-2,B008-P-PL-2,Santander Personal Loan Plus,standard_offer,public,False,,0.048,0.05,0.005,25.0,,,15001.0,75000.0,24,84,,,2,4,,3,3,B008-2-O-2,,1,2,,,,
