timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,campaign_name,campaign_type,campaign_detail,target_segment,marketing_channel,marketing_spend_eur,product_id,product_name,source_function,start_timestep,end_timestep,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
1,bank_agent,bank,B002,B002,,,,,,New Personal Loans from Commerzbank,,Get a personal loan with a competitive interest rate.,all,,,,,bank_owned_marketing,,,public,,1,1,B002-M001,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_campaign_1_1,,,,,,,,bank_owned_marketing,,,public,,1,1,B003_M001,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_campaign_1_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B003_M002,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_campaign_1_3,,,,,,,,bank_owned_marketing,,,public,,3,3,B003_M003,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,New in Germany: Sparkasse Personal Loans!,,,general_public,online_ads,,,,bank_owned_marketing,,,public,,1,1,B005_1_4,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,Your Major Projects Funded. Sparkasse Personal Loan Plus.,,,high_income_earners,social_media,,,,bank_owned_marketing,,,public,,2,2,B005_1_5,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,New Loan Products from Volksbanken Raiffeisenbanken!,,,general_public,,,,,bank_owned_marketing,,,public,,1,1,B006-M-1,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,B008_campaign_1_4,,,,,,,,bank_owned_marketing,,,private,,4,4,B008-1-M-1,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001_campaign_1_4,,,,,10000.0,,,bank_owned_marketing,,,public,,4,4,B001-A4,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001_campaign_1_5,,,,,20000.0,,,bank_owned_marketing,,,public,,5,5,B001-A5,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001_campaign_1_6,,,,,30000.0,,,bank_owned_marketing,,,public,,6,6,B001-A6,,0,1,,,,
2,bank_agent,bank,B001,B001,,,,,,B001_campaign_2_2,,,,,,,,bank_owned_marketing,,,public,,2,2,B001-A5,,1,2,,,,
2,bank_agent,bank,B004,B004,,,,,,DKB Q1 Personal Loan Launch,BRAND_AWARENESS,,,,100000.0,,,bank_owned_marketing,,,public,,2,2,B004-2-M1,,1,2,,,,
2,bank_agent,bank,B007,B007,,,,,,Targobank Competitive Personal Loan,online_ads,,,,20000.0,B007-P001,,bank_owned_marketing,,,public,,4,4,marketing_actions-2-B007-4,,1,2,,,,
2,bank_agent,bank,B003,B003,,,,,,B003_C001,,,,"[""online_ads"", ""social_media""]",,,,bank_owned_marketing,2,4,private,,2,2,B003_A003,,1,2,,,,
2,bank_agent,bank,B002,B002,,,,,,Commerzbank Personal Loans Spring Campaign,Increase market share for personal loans.,,,"online_ads, social_media, print",150000.0,,,bank_owned_marketing,,,public,,1,1,marketing_actions-2-B002-1,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,Exclusive loan rates for high earners with VR-GrossKredit.,,,,social_media,,B006-P-3,,bank_owned_marketing,,,public,,1,1,B006-M-2-1,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,Unbeatable interest rates with our new VR-TopZins loan!,,,,online_ads,,B006-P-4,,bank_owned_marketing,,,public,,1,1,B006-M-2-2,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,Volksbanken Raiffeisenbanken: Your trusted partner for personal loans.,,,,online_ads,,"B006-P-1,B006-P-2",,bank_owned_marketing,,,public,,1,1,B006-M-2-3,,1,2,,,,
2,bank_agent,bank,B005,B005,,,,,,Sparkasse General Public Campaign,,,,online_ads,100000.0,,,bank_owned_marketing,,,public,,1,1,B005_2_1,,1,2,,,,
2,bank_agent,bank,B005,B005,,,,,,Sparkasse High Income Campaign,,,,social_media,50000.0,,,bank_owned_marketing,,,public,,2,2,B005_2_2,,1,2,,,,
2,bank_agent,bank,B008,B008,,,,,,B008_campaign_2_4,,,,online_ads,75000.0,,,bank_owned_marketing,2,3,public,,4,4,B008-2-M-1,,1,2,,,,
